ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,BEW,Datenstatus,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2015-12-31,Z31122015,Seefeld,R00081,4990.0,Definitiv,Kreis 8 (ab 1915),R01100,2015-12-31,2015-12-31,2015,81
2015-12-31,Z31122015,Hirzenbach,R00123,11930.0,Definitiv,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2015-12-31,2015-12-31,2015,123
2015-12-31,Z31122015,Fluntern,R00071,7953.0,Definitiv,Kreis 7 (ab 1934),R01300,2015-12-31,2015-12-31,2015,71
2015-12-31,Z31122015,Weinegg,R00083,5086.0,Definitiv,Kreis 8 (ab 1915),R01100,2015-12-31,2015-12-31,2015,83
2015-12-31,Z31122015,Seebach,R00119,24991.0,Definitiv,Kreis 11 (ab 1970),R01800,2015-12-31,2015-12-31,2015,119
2015-12-31,Z31122015,Leimbach,R00023,6102.0,Definitiv,Kreis 2 (ab 1893),R00200,2015-12-31,2015-12-31,2015,23
2015-12-31,Z31122015,City,R00014,805.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2015-12-31,2015-12-31,2015,14
2015-12-31,Z31122015,Wipkingen,R00102,15879.0,Definitiv,Kreis 10 (ab 1934),R01500,2015-12-31,2015-12-31,2015,102
2015-12-31,Z31122015,Oerlikon,R00115,21966.0,Definitiv,Kreis 11 (ab 1970),R01800,2015-12-31,2015-12-31,2015,115
2015-12-31,Z31122015,Altstetten,R00092,32003.0,Definitiv,Kreis 9 (ab 1934),R01400,2015-12-31,2015-12-31,2015,92
2015-12-31,Z31122015,Oberstrass,R00063,10641.0,Definitiv,Kreis 6 (ab 1934),R01200,2015-12-31,2015-12-31,2015,63
2015-12-31,Z31122015,Höngg,R00101,22320.0,Definitiv,Kreis 10 (ab 1934),R01500,2015-12-31,2015-12-31,2015,101
2015-12-31,Z31122015,Wollishofen,R00021,16244.0,Definitiv,Kreis 2 (ab 1893),R00200,2015-12-31,2015-12-31,2015,21
2015-12-31,Z31122015,Lindenhof,R00013,974.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2015-12-31,2015-12-31,2015,13
2015-12-31,Z31122015,Friesenberg,R00033,10698.0,Definitiv,Kreis 3 (ab 1915),R00600,2015-12-31,2015-12-31,2015,33
2015-12-31,Z31122015,Escher Wyss,R00052,5457.0,Definitiv,Kreis 5 (ab 1915),R00800,2015-12-31,2015-12-31,2015,52
2015-12-31,Z31122015,Albisrieden,R00091,19325.0,Definitiv,Kreis 9 (ab 1934),R01400,2015-12-31,2015-12-31,2015,91
2015-12-31,Z31122015,Hirslanden,R00073,7380.0,Definitiv,Kreis 7 (ab 1934),R01300,2015-12-31,2015-12-31,2015,73
2015-12-31,Z31122015,Alt-Wiedikon,R00031,17158.0,Definitiv,Kreis 3 (ab 1915),R00600,2015-12-31,2015-12-31,2015,31
2015-12-31,Z31122015,Witikon,R00074,10639.0,Definitiv,Kreis 7 (ab 1934),R01300,2015-12-31,2015-12-31,2015,74
2015-12-31,Z31122015,Langstrasse,R00042,11169.0,Definitiv,Kreis 4 (ab 1915),R00700,2015-12-31,2015-12-31,2015,42
2015-12-31,Z31122015,Sihlfeld,R00034,21339.0,Definitiv,Kreis 3 (ab 1915),R00600,2015-12-31,2015-12-31,2015,34
